txn_id,work_id,vendor_id,amount,txn_date,payment_status
105,41,31,99550000,2025-07-05,Completed
106,42,12,103125000,2026-05-08,Completed
107,42,12,103125000,2026-03-17,Completed
108,42,12,103125000,2025-10-21,Completed
109,42,12,103125000,2026-04-01,Completed
110,43,18,477000000,2024-09-18,Completed
111,44,107,293659353,2024-11-14,Completed
112,44,107,293659353,2024-08-29,Completed
113,45,21,101000000,2025-12-21,Completed
114,46,49,196600000,2025-02-03,Completed
115,46,49,196600000,2024-09-19,Completed
116,47,108,36850000,2026-06-06,Completed
117,47,108,36850000,2025-12-14,Completed
118,48,159,36100000,2025-08-12,Completed
119,48,159,36100000,2025-11-28,Completed
120,49,96,120166666,2025-06-12,Completed
121,49,96,120166666,2025-12-28,Completed
122,49,96,120166666,2025-05-11,Completed
123,50,19,233600000,2025-09-18,Completed
124,51,183,122700000,2025-08-13,Completed
125,51,183,122700000,2025-04-28,Completed
126,52,185,61366666,2024-12-15,Completed
127,52,185,61366666,2024-12-26,Completed
128,52,185,61366666,2024-09-15,Completed
129,53,180,133400000,2025-08-06,Completed
130,54,179,26600000,2025-06-03,Completed
131,54,179,26600000,2025-11-17,Completed
132,54,179,26600000,2025-10-12,Completed
133,54,179,26600000,2025-12-01,Completed
134,55,179,163600000,2024-10-17,Completed
135,55,179,163600000,2024-09-07,Completed
136,55,179,163600000,2024-06-18,Completed
137,56,37,62425000,2024-12-25,Completed
138,56,37,62425000,2024-07-20,Completed
139,56,37,62425000,2025-03-16,Completed
140,56,37,62425000,2024-12-19,Completed
141,57,194,113533333,2025-06-03,Completed
142,57,194,113533333,2024-08-28,Completed
143,57,194,113533333,2025-05-14,Completed
144,58,99,112550000,2024-07-04,Completed
145,58,99,112550000,2023-11-26,Completed
146,58,99,112550000,2024-01-04,Completed
147,58,99,112550000,2024-04-16,Completed
148,59,61,100266666,2025-08-31,Completed
149,59,61,100266666,2025-11-03,Completed
150,59,61,100266666,2025-07-14,Completed
151,60,102,119400000,2025-11-13,Completed
152,60,102,119400000,2025-11-25,Completed
153,61,178,66150000,2025-04-28,Completed
154,61,178,66150000,2024-12-02,Completed
155,62,172,72325000,2025-07-13,Completed
156,62,172,72325000,2025-05-28,Completed
157,62,172,72325000,2025-10-14,Completed
158,62,172,72325000,2026-01-17,Completed
159,63,27,64200000,2026-04-09,Completed
160,63,27,64200000,2025-09-07,Completed
161,63,27,64200000,2025-08-28,Completed
162,63,27,64200000,2025-10-17,Completed
163,64,14,29925000,2025-03-01,Completed
164,64,14,29925000,2025-07-31,Completed
165,64,14,29925000,2025-05-19,Completed
166,64,14,29925000,2025-06-24,Completed
167,65,18,150050000,2025-05-11,Completed
168,65,18,150050000,2025-06-07,Completed
169,66,185,48075000,2026-04-05,Completed
170,66,185,48075000,2026-01-04,Completed
171,66,185,48075000,2025-08-24,Completed
172,66,185,48075000,2025-12-04,Completed
173,67,112,210950000,2025-03-02,Completed
174,67,112,210950000,2024-09-24,Completed
175,68,8,55500000,2026-03-29,Completed
176,68,8,55500000,2025-10-19,Completed
177,68,8,55500000,2026-04-13,Completed
178,69,95,459900000,2025-09-28,Completed
179,70,59,237500000,2025-07-15,Completed
180,71,155,69450000,2025-07-18,Completed
181,71,155,69450000,2026-01-28,Completed
182,71,155,69450000,2025-11-27,Completed
183,71,155,69450000,2025-12-28,Completed
184,72,145,80025000,2024-10-24,Completed
185,72,145,80025000,2024-02-04,Completed
186,72,145,80025000,2024-09-05,Completed
187,72,145,80025000,2024-03-02,Completed
188,73,72,117875000,2024-03-24,Completed
189,73,72,117875000,2024-06-01,Completed
190,73,72,117875000,2024-11-17,Completed
191,73,72,117875000,2024-08-29,Completed
192,74,83,23050000,2024-07-18,Completed
193,74,83,23050000,2024-01-14,Completed
194,74,83,23050000,2023-11-27,Completed
195,74,83,23050000,2024-03-14,Completed
196,75,16,31575000,2024-07-11,Completed
197,75,16,31575000,2024-07-29,Completed
198,75,16,31575000,2025-01-22,Completed
199,75,16,31575000,2024-10-08,Completed
200,76,40,218400000,2025-05-31,Completed
201,76,40,218400000,2024-11-21,Completed
202,77,153,109466666,2025-04-07,Completed
203,77,153,109466666,2025-07-14,Completed
204,77,153,109466666,2025-01-21,Completed
205,78,144,211500000,2024-09-27,Completed
206,78,144,211500000,2024-07-12,Completed
207,79,123,181150000,2025-10-27,Completed
208,79,123,181150000,2025-03-06,Completed
209,80,175,33050000,2024-11-20,Completed
210,80,175,33050000,2025-01-25,Completed
211,80,175,33050000,2025-06-10,Completed
212,80,175,33050000,2025-01-31,Completed
213,81,68,109100000,2024-12-22,Completed
214,81,68,109100000,2024-10-04,Completed
215,81,68,109100000,2024-09-02,Completed
216,82,120,53000000,2024-11-14,Completed
217,82,120,53000000,2025-05-09,Completed
218,83,123,413400000,2026-02-02,Completed
219,84,59,84600000,2025-07-08,Completed
220,84,59,84600000,2025-07-10,Completed
221,85,25,61800000,2024-04-09,Completed
222,85,25,61800000,2024-07-23,Completed
223,85,25,61800000,2024-04-09,Completed
224,85,25,61800000,2023-12-05,Completed
225,86,139,36833333,2025-08-31,Completed
226,86,139,36833333,2025-06-03,Completed
227,86,139,36833333,2025-09-16,Completed
228,87,128,45766666,2025-09-13,Completed
229,87,128,45766666,2025-04-26,Completed
230,87,128,45766666,2025-11-03,Completed
231,88,30,228450000,2026-02-22,Completed
232,88,30,228450000,2025-12-16,Completed
233,89,133,32375000,2024-08-20,Completed
234,89,133,32375000,2025-02-05,Completed
235,89,133,32375000,2024-10-09,Completed
236,89,133,32375000,2024-09-18,Completed
237,90,92,71466666,2024-07-08,Completed
238,90,92,71466666,2024-08-24,Completed
239,90,92,71466666,2024-12-17,Completed
240,91,185,80238617,2025-11-03,Completed
241,91,185,80238617,2025-07-28,Completed
242,91,185,80238617,2025-03-09,Completed
243,91,185,80238617,2025-08-12,Completed
244,92,139,105625000,2024-05-01,Completed
245,92,139,105625000,2023-12-18,Completed
246,92,139,105625000,2024-02-20,Completed
247,92,139,105625000,2024-06-21,Completed
248,93,170,77100000,2024-05-22,Completed
249,93,170,77100000,2023-12-24,Completed
250,93,170,77100000,2024-01-05,Completed
251,94,155,149650000,2026-03-29,Completed
252,94,155,149650000,2026-05-02,Completed
253,95,185,44125000,2025-12-19,Completed
254,95,185,44125000,2025-08-14,Completed
255,95,185,44125000,2026-02-03,Completed
256,95,185,44125000,2025-11-17,Completed
257,96,76,350900000,2025-08-17,Completed
258,97,9,422500000,2025-04-02,Completed
259,98,69,53100000,2025-08-03,Completed
260,98,69,53100000,2025-09-21,Completed
261,99,9,156400000,2025-11-04,Completed
262,100,155,78800000,2026-02-26,Completed
263,100,155,78800000,2025-07-30,Completed
264,100,155,78800000,2025-07-04,Completed
265,100,155,78800000,2026-01-31,Completed
266,101,41,140066666,2025-08-07,Completed
267,101,41,140066666,2024-12-31,Completed
268,101,41,140066666,2025-01-16,Completed
269,102,22,150533333,2024-02-18,Completed
270,102,22,150533333,2024-01-07,Completed
271,102,22,150533333,2024-02-07,Completed
272,103,126,90500000,2025-07-11,Completed
273,103,126,90500000,2025-07-19,Completed
274,103,126,90500000,2026-02-28,Completed
275,103,126,90500000,2025-09-09,Completed
276,104,146,125533333,2024-02-17,Completed
277,104,146,125533333,2024-05-31,Completed
278,104,146,125533333,2024-11-11,Completed
279,105,15,63150000,2026-06-04,Completed
280,105,15,63150000,2025-09-23,Completed
281,106,135,96625000,2024-12-27,Completed
282,106,135,96625000,2025-04-27,Completed
283,106,135,96625000,2025-05-09,Completed
284,106,135,96625000,2025-05-30,Completed
285,107,158,58900000,2025-01-22,Completed
286,107,158,58900000,2024-10-18,Completed
287,107,158,58900000,2024-06-10,Completed
288,108,105,23833333,2025-06-19,Completed
289,108,105,23833333,2025-09-05,Completed
290,108,105,23833333,2025-10-22,Completed
291,109,138,13750000,2024-12-04,Completed
292,109,138,13750000,2025-01-10,Completed
293,109,138,13750000,2024-11-14,Completed
294,109,138,13750000,2024-12-15,Completed
295,110,184,329200000,2025-06-13,Completed
296,111,25,29200000,2026-03-08,Completed
297,111,25,29200000,2025-12-25,Completed
298,111,25,29200000,2025-11-26,Completed
299,111,25,29200000,2026-04-27,Completed
300,112,179,46933333,2024-01-23,Completed
301,112,179,46933333,2024-04-21,Completed
302,112,179,46933333,2024-07-20,Completed
303,113,167,74333333,2024-07-01,Completed
304,113,167,74333333,2024-05-04,Completed
305,113,167,74333333,2025-01-10,Completed
306,114,128,459800000,2025-04-21,Completed
307,115,44,28425000,2025-08-24,Completed
308,115,44,28425000,2025-06-20,Completed
309,115,44,28425000,2025-03-22,Completed
310,115,44,28425000,2025-08-18,Completed
311,116,105,63566666,2024-03-12,Completed
312,116,105,63566666,2024-09-06,Completed
313,116,105,63566666,2024-03-21,Completed
314,117,53,159733333,2024-03-18,Completed
315,117,53,159733333,2024-05-14,Completed
316,117,53,159733333,2024-02-20,Completed
317,118,122,161533333,2025-12-06,Completed
318,118,122,161533333,2026-01-20,Completed
319,118,122,161533333,2025-11-13,Completed
320,119,167,192100000,2025-06-16,Completed
321,120,68,78675000,2025-10-09,Completed
322,120,68,78675000,2026-05-03,Completed
323,120,68,78675000,2026-04-19,Completed
324,120,68,78675000,2026-02-07,Completed
325,121,107,304200000,2023-12-21,Completed
326,122,87,139466666,2024-06-30,Completed
327,122,87,139466666,2024-07-13,Completed
328,122,87,139466666,2024-01-16,Completed
329,123,127,29750000,2024-08-15,Completed
330,123,127,29750000,2024-09-28,Completed
331,123,127,29750000,2024-09-27,Completed
332,123,127,29750000,2024-03-25,Completed
333,124,66,30933333,2025-10-01,Completed
334,124,66,30933333,2026-05-26,Completed
335,124,66,30933333,2026-02-27,Completed
336,125,85,107666666,2025-02-25,Completed
337,125,85,107666666,2024-10-14,Completed
338,125,85,107666666,2024-09-21,Completed
339,126,108,154600000,2025-11-12,Completed
340,127,10,112700000,2025-03-12,Completed
341,127,10,112700000,2025-03-21,Completed
342,128,95,465800000,2025-09-03,Completed
343,129,14,88150000,2025-10-11,Completed
344,129,14,88150000,2025-03-23,Completed
345,130,165,141700000,2024-04-05,Completed
346,130,165,141700000,2024-06-26,Completed
347,131,100,107050000,2024-12-22,Completed
348,131,100,107050000,2025-01-11,Completed
349,131,100,107050000,2024-12-10,Completed
350,131,100,107050000,2025-02-06,Completed
351,132,199,354000000,2026-01-10,Completed
352,133,4,273400000,2025-07-24,Completed
353,134,123,93600000,2024-06-09,Completed
354,135,94,65550000,2024-06-14,Completed
355,135,94,65550000,2024-04-24,Completed
356,136,157,163600000,2024-02-18,Completed
357,137,137,43100000,2024-01-27,Completed
358,137,137,43100000,2024-04-27,Completed
359,137,137,43100000,2024-04-01,Completed
360,137,137,43100000,2024-05-04,Completed
361,138,200,393900000,2024-09-11,Completed
362,139,105,41900000,2023-11-08,Completed
363,139,105,41900000,2024-01-10,Completed
364,139,105,41900000,2024-08-22,Completed
365,139,105,41900000,2024-05-30,Completed
366,140,172,123266666,2024-12-27,Completed
367,140,172,123266666,2025-07-12,Completed
368,140,172,123266666,2025-02-14,Completed
369,141,131,79600000,2025-03-07,Completed
370,141,131,79600000,2025-03-15,Completed
371,142,191,48536928,2025-01-13,Completed
372,142,191,48536928,2024-11-14,Completed
373,142,191,48536928,2025-01-28,Completed
374,143,179,94766666,2025-05-12,Completed
375,143,179,94766666,2025-02-25,Completed
376,143,179,94766666,2025-06-30,Completed
377,144,56,109233333,2024-10-06,Completed
378,144,56,109233333,2024-05-30,Completed
379,144,56,109233333,2024-02-26,Completed
380,145,99,165600000,2024-03-26,Completed
381,145,99,165600000,2024-06-06,Completed
382,145,99,165600000,2024-05-27,Completed
383,146,75,84475000,2025-06-01,Completed
384,146,75,84475000,2025-02-10,Completed
385,146,75,84475000,2025-02-19,Completed
386,146,75,84475000,2025-08-07,Completed
387,147,10,166900000,2024-05-05,Completed
388,148,100,173300000,2024-09-21,Completed
389,148,100,173300000,2024-08-11,Completed
390,149,90,376000000,2024-03-29,Completed
391,150,7,88133333,2025-05-25,Completed
392,150,7,88133333,2024-12-27,Completed
393,150,7,88133333,2024-11-17,Completed
394,151,28,140100000,2025-06-25,Completed
395,151,28,140100000,2025-02-01,Completed
396,151,28,140100000,2025-10-07,Completed
397,152,195,173050000,2025-02-26,Completed
398,152,195,173050000,2025-07-07,Completed
399,153,22,432800000,2025-06-18,Completed
400,154,31,27600000,2025-05-10,Completed
401,154,31,27600000,2025-06-05,Completed
402,154,31,27600000,2025-03-09,Completed
403,154,31,27600000,2024-11-18,Completed
404,155,122,155700000,2025-06-22,Completed
405,156,140,60866666,2025-05-07,Completed
406,156,140,60866666,2025-08-03,Completed
407,156,140,60866666,2025-07-06,Completed
408,157,196,243500000,2025-07-29,Completed
409,157,196,243500000,2025-10-22,Completed
410,158,90,38833333,2026-01-09,Completed
411,158,90,38833333,2026-04-25,Completed
412,158,90,38833333,2025-10-09,Completed
413,159,130,148533333,2025-09-19,Completed
414,159,130,148533333,2025-03-08,Completed
415,159,130,148533333,2025-03-01,Completed
416,160,173,148866666,2024-06-17,Completed
417,160,173,148866666,2024-06-30,Completed
418,160,173,148866666,2024-07-28,Completed
419,161,75,471800000,2024-12-24,Completed
420,162,16,121533333,2024-10-24,Completed
421,162,16,121533333,2024-08-22,Completed
422,162,16,121533333,2024-08-06,Completed
423,163,29,114350000,2025-06-07,Completed
424,163,29,114350000,2025-05-25,Completed
425,163,29,114350000,2025-08-03,Completed
426,163,29,114350000,2025-02-28,Completed
427,164,88,237192889,2025-12-29,Completed
428,164,88,237192889,2026-01-17,Completed
429,164,88,237192889,2025-12-29,Completed
430,165,126,52350000,2025-06-21,Completed
431,165,126,52350000,2025-02-03,Completed
432,165,126,52350000,2024-11-12,Completed
433,165,126,52350000,2024-11-17,Completed
434,166,82,87375000,2025-05-22,Completed
435,166,82,87375000,2024-09-28,Completed
436,166,82,87375000,2024-10-01,Completed
437,166,82,87375000,2024-09-27,Completed
438,167,198,219000000,2025-02-10,Completed
439,167,198,219000000,2025-02-06,Completed
440,168,11,108500000,2025-02-18,Completed
441,168,11,108500000,2024-06-28,Completed
442,168,11,108500000,2024-12-25,Completed
443,169,13,35900000,2025-04-26,Completed
444,169,13,35900000,2025-12-01,Completed
445,170,88,171000000,2024-05-29,Completed
446,171,131,98250000,2024-01-26,Completed
447,171,131,98250000,2024-03-05,Completed
448,171,131,98250000,2024-09-16,Completed
449,171,131,98250000,2024-04-10,Completed
450,172,23,102333333,2025-06-30,Completed
451,172,23,102333333,2025-03-24,Completed
452,172,23,102333333,2025-02-06,Completed
453,173,5,98166666,2025-10-15,Completed
454,173,5,98166666,2026-03-08,Completed
455,173,5,98166666,2025-12-10,Completed
456,174,131,71425000,2025-07-07,Completed
457,174,131,71425000,2025-03-27,Completed
458,174,131,71425000,2025-06-09,Completed
459,174,131,71425000,2025-02-02,Completed
460,175,131,83425000,2025-07-28,Completed
461,175,131,83425000,2025-07-22,Completed
462,175,131,83425000,2026-01-10,Completed
463,175,131,83425000,2025-08-26,Completed
464,176,195,123000000,2024-11-20,Completed
465,176,195,123000000,2024-08-19,Completed
466,177,186,218450000,2024-11-25,Completed
467,177,186,218450000,2024-12-30,Completed
468,178,19,649411152,2024-10-28,Completed
469,179,152,125066666,2024-05-09,Completed
470,179,152,125066666,2024-04-24,Completed
471,179,152,125066666,2024-09-19,Completed
472,180,32,70775000,2024-06-22,Completed
473,180,32,70775000,2024-12-29,Completed
474,180,32,70775000,2024-12-10,Completed
475,180,32,70775000,2024-09-01,Completed
476,181,72,160400000,2025-07-31,Completed
477,181,72,160400000,2026-01-12,Completed
478,182,24,48425000,2024-10-02,Completed
479,182,24,48425000,2024-06-28,Completed
480,182,24,48425000,2024-02-26,Completed
481,182,24,48425000,2024-08-05,Completed
482,183,179,78750000,2025-05-31,Completed
483,183,179,78750000,2025-12-08,Completed
484,183,179,78750000,2025-11-24,Completed
485,183,179,78750000,2025-06-28,Completed
486,184,200,121750000,2025-08-20,Completed
487,184,200,121750000,2025-10-09,Completed
488,185,90,72900000,2024-05-04,Completed
489,185,90,72900000,2024-10-05,Completed
490,185,90,72900000,2024-08-25,Completed
491,185,90,72900000,2024-09-15,Completed
492,186,111,252700000,2026-07-21,Completed
493,187,141,50250000,2023-12-30,Completed
494,187,141,50250000,2024-03-22,Completed
495,188,68,112600000,2025-02-11,Completed
496,188,68,112600000,2025-08-25,Completed
497,188,68,112600000,2025-07-06,Completed
498,188,68,112600000,2025-07-27,Completed
499,189,7,33900000,2024-04-02,Completed
500,189,7,33900000,2024-03-19,Completed
501,190,119,26625000,2025-08-10,Completed
502,190,119,26625000,2025-07-18,Completed
503,190,119,26625000,2025-12-11,Completed
504,190,119,26625000,2025-11-17,Completed
505,191,57,178850000,2025-02-06,Completed
506,191,57,178850000,2024-10-11,Completed
507,192,121,483200000,2024-11-10,Completed
508,193,61,119050000,2024-08-02,Completed
509,193,61,119050000,2024-06-22,Completed
510,194,180,61775000,2025-09-02,Completed
511,194,180,61775000,2025-12-12,Completed
512,194,180,61775000,2025-08-31,Completed
513,194,180,61775000,2026-03-02,Completed
514,195,56,54900000,2024-08-18,Completed
515,195,56,54900000,2024-07-06,Completed
516,195,56,54900000,2024-08-08,Completed
517,196,13,148050000,2025-11-07,Completed
518,196,13,148050000,2026-01-12,Completed
519,197,141,159866666,2025-03-19,Completed
520,197,141,159866666,2024-12-11,Completed
521,197,141,159866666,2025-06-10,Completed
522,198,64,214650000,2025-08-16,Completed
523,198,64,214650000,2025-06-03,Completed
524,199,95,57350000,2024-05-21,Completed
525,199,95,57350000,2024-09-09,Completed
526,200,162,102050000,2024-09-30,Completed
527,200,162,102050000,2024-05-14,Completed
528,201,19,55875000,2024-04-25,Completed
529,201,19,55875000,2024-04-05,Completed
530,201,19,55875000,2024-07-13,Completed
531,201,19,55875000,2024-04-23,Completed
532,202,38,75650000,2025-01-23,Completed
533,202,38,75650000,2025-08-01,Completed
534,202,38,75650000,2025-05-16,Completed
535,202,38,75650000,2025-03-18,Completed
536,203,40,42375000,2024-09-14,Completed
537,203,40,42375000,2024-07-03,Completed
538,203,40,42375000,2024-07-25,Completed
539,203,40,42375000,2024-10-01,Completed
540,204,121,153000000,2024-06-23,Completed
541,204,121,153000000,2024-06-24,Completed
542,204,121,153000000,2024-06-08,Completed
543,205,87,188600000,2024-12-07,Completed
544,206,55,44850000,2024-07-15,Completed
545,206,55,44850000,2024-08-27,Completed
546,207,36,88925000,2024-07-11,Completed
547,207,36,88925000,2023-11-13,Completed
548,207,36,88925000,2023-11-08,Completed
549,207,36,88925000,2024-08-03,Completed
550,208,173,122200000,2024-06-17,Completed
551,208,173,122200000,2024-05-11,Completed
552,208,173,122200000,2024-05-06,Completed
553,208,173,122200000,2024-12-11,Completed
554,209,1,120300000,2025-02-05,Completed
555,209,1,120300000,2025-07-06,Completed
556,209,1,120300000,2025-07-22,Completed
557,209,1,120300000,2025-08-19,Completed
558,210,76,18975000,2025-01-29,Completed
559,210,76,18975000,2025-01-05,Completed
560,210,76,18975000,2025-03-29,Completed
561,210,76,18975000,2025-02-12,Completed
562,211,18,64050000,2025-05-25,Completed
563,211,18,64050000,2025-04-08,Completed
564,212,49,139800000,2024-03-16,Completed
565,212,49,139800000,2023-10-15,Completed
566,213,77,28250000,2026-05-29,Completed
567,213,77,28250000,2026-02-11,Completed
568,213,77,28250000,2026-03-10,Completed
569,213,77,28250000,2025-11-05,Completed
570,214,179,31300000,2025-07-04,Completed
571,214,179,31300000,2025-05-29,Completed
572,214,179,31300000,2024-12-28,Completed
573,215,69,89375000,2024-07-26,Completed
574,215,69,89375000,2024-11-11,Completed
575,215,69,89375000,2024-10-17,Completed
576,215,69,89375000,2024-07-20,Completed
577,216,180,90300000,2024-05-03,Completed
578,216,180,90300000,2024-05-25,Completed
579,216,180,90300000,2024-01-16,Completed
580,216,180,90300000,2024-01-08,Completed
581,217,19,414300000,2025-09-15,Completed
582,218,119,44866666,2026-01-16,Completed
583,218,119,44866666,2025-07-09,Completed
584,218,119,44866666,2025-11-29,Completed
585,219,52,158933333,2025-02-03,Completed
586,219,52,158933333,2025-01-17,Completed
587,219,52,158933333,2025-05-12,Completed
588,220,119,406000000,2025-04-15,Completed
589,221,5,228050000,2025-04-10,Completed
590,221,5,228050000,2024-11-09,Completed
591,222,182,159950000,2026-02-07,Completed
592,222,182,159950000,2026-02-18,Completed
593,223,110,48875000,2024-07-31,Completed
594,223,110,48875000,2024-09-11,Completed
595,223,110,48875000,2024-10-07,Completed
596,223,110,48875000,2024-08-19,Completed
597,224,164,124225000,2024-03-06,Completed
598,224,164,124225000,2024-07-01,Completed
599,224,164,124225000,2024-04-17,Completed
600,224,164,124225000,2023-12-25,Completed
601,225,31,74500000,2025-07-02,Completed
602,225,31,74500000,2025-01-27,Completed
603,225,31,74500000,2025-08-07,Completed
604,225,31,74500000,2025-08-23,Completed
605,226,176,495300000,2025-12-01,Completed
606,227,188,21550000,2025-11-03,Completed
607,227,188,21550000,2025-12-24,Completed
608,227,188,21550000,2025-07-11,Completed
609,227,188,21550000,2025-05-23,Completed
610,228,94,234150000,2024-09-06,Completed
611,228,94,234150000,2024-07-31,Completed
612,229,68,83125000,2024-04-22,Completed
613,229,68,83125000,2024-05-08,Completed
614,229,68,83125000,2024-05-21,Completed
615,229,68,83125000,2024-09-04,Completed
616,230,3,83825000,2025-11-26,Completed
617,230,3,83825000,2025-07-20,Completed
618,230,3,83825000,2025-11-16,Completed
619,230,3,83825000,2025-07-08,Completed
620,231,37,69750000,2026-03-20,Completed
621,231,37,69750000,2025-09-26,Completed
622,232,32,59975000,2025-11-27,Completed
623,232,32,59975000,2025-05-23,Completed
624,232,32,59975000,2025-08-18,Completed
625,232,32,59975000,2025-12-25,Completed
626,233,14,218500000,2025-06-13,Completed
627,234,39,70466666,2026-03-09,Completed
628,234,39,70466666,2026-03-11,Completed
629,234,39,70466666,2025-10-20,Completed
630,235,193,39800000,2024-11-09,Completed
631,235,193,39800000,2024-12-13,Completed
632,235,193,39800000,2025-03-21,Completed
633,236,7,182150000,2025-07-13,Completed
634,236,7,182150000,2024-12-26,Completed
635,237,69,46950000,2025-05-02,Completed
636,237,69,46950000,2025-08-07,Completed
637,238,117,226400000,2024-12-31,Completed
638,238,117,226400000,2025-09-04,Completed
639,239,69,144600000,2025-05-23,Completed
640,239,69,144600000,2025-07-17,Completed
641,240,150,143500000,2024-07-09,Completed
642,241,34,293800000,2023-11-12,Completed
643,242,147,55475000,2024-10-29,Completed
644,242,147,55475000,2024-10-16,Completed
645,242,147,55475000,2024-11-19,Completed
646,242,147,55475000,2024-11-19,Completed
647,243,105,163766666,2025-02-05,Completed
648,243,105,163766666,2025-06-12,Completed
649,243,105,163766666,2024-11-09,Completed
650,244,34,49250000,2024-10-09,Completed
651,244,34,49250000,2024-08-17,Completed
652,245,200,112725000,2025-06-03,Completed
653,245,200,112725000,2025-07-12,Completed
654,245,200,112725000,2024-12-31,Completed
655,245,200,112725000,2025-01-09,Completed
656,246,76,422400000,2025-04-26,Completed
657,247,72,121950000,2025-08-25,Completed
658,247,72,121950000,2025-09-22,Completed
659,247,72,121950000,2025-09-02,Completed
660,247,72,121950000,2025-09-29,Completed
661,248,60,331500000,2025-09-28,Completed
662,249,14,205750000,2024-07-03,Completed
663,249,14,205750000,2024-09-28,Completed
664,250,4,63200000,2024-12-20,Completed
