work_id,sanctioned_amount,sanction_date
137,172400000,2023-11-22
138,393900000,2023-12-21
139,167600000,2023-11-18
140,369800000,2025-01-01
141,159200000,2024-07-03
142,145610784,2024-04-15
143,284300000,2024-12-14
144,327700000,2024-01-05
145,496800000,2023-10-12
146,337900000,2025-01-02
147,166900000,2024-02-21
148,346600000,2024-01-25
149,376000000,2023-12-15
150,264400000,2024-09-06
151,420300000,2024-12-20
152,346100000,2024-10-18
153,432800000,2025-05-06
154,110400000,2024-09-04
155,155700000,2024-09-20
156,182600000,2025-03-18
157,487000000,2025-04-23
158,116500000,2025-09-14
159,445600000,2025-01-20
160,446600000,2023-12-27
161,471800000,2024-07-31
162,364600000,2024-05-07
163,457400000,2025-01-25
164,711578668,2025-06-15
165,209400000,2024-09-03
166,349500000,2024-08-29
167,438000000,2024-08-17
168,325500000,2024-06-10
169,71800000,2025-03-21
170,171000000,2024-02-12
171,393000000,2023-12-16
172,307000000,2024-09-14
173,294500000,2025-06-21
174,285700000,2025-01-02
175,333700000,2025-03-31
176,246000000,2024-07-14
177,436900000,2024-04-21
178,649411152,2024-07-21
179,375200000,2024-04-10
180,283100000,2024-04-05
181,320800000,2025-07-14
182,193700000,2024-01-03
183,315000000,2025-06-13
184,243500000,2025-01-15
185,291600000,2024-02-06
186,252700000,2025-10-15
187,100500000,2023-09-27
188,450400000,2024-11-26
189,67800000,2024-02-15
190,106500000,2025-04-30
191,357700000,2024-08-02
192,483200000,2024-06-01
193,238100000,2024-05-27
194,247100000,2025-07-30
195,164700000,2024-02-26
196,296100000,2025-03-24
197,479600000,2024-08-29
198,429300000,2025-01-20
199,114700000,2024-04-15
200,204100000,2024-01-19
201,223500000,2023-12-13
202,302600000,2024-11-24
203,169500000,2024-04-06
204,459000000,2023-10-07
205,188600000,2024-03-04
206,89700000,2024-06-01
207,355700000,2023-10-26
208,488800000,2024-03-08
209,481200000,2024-12-17
210,75900000,2024-12-22
211,128100000,2024-07-29
212,279600000,2023-09-27
213,113000000,2025-08-16
214,93900000,2024-12-03
215,357500000,2024-06-03
216,361200000,2023-11-13
217,414300000,2025-06-02
218,134600000,2025-06-23
219,476800000,2024-08-23
220,406000000,2024-10-03
221,456100000,2024-10-27
222,319900000,2025-08-28
223,195500000,2024-03-19
224,496900000,2023-11-10
225,298000000,2024-12-11
226,495300000,2025-09-27
227,86200000,2025-05-08
228,468300000,2024-01-12
229,332500000,2024-02-29
230,335300000,2025-06-06
231,139500000,2025-06-19
232,239900000,2025-04-29
233,218500000,2025-04-12
234,211400000,2025-08-13
235,119400000,2024-09-01
236,364300000,2024-09-22
237,93900000,2025-01-13
238,452800000,2024-11-09
239,289200000,2024-09-21
240,143500000,2023-11-17
241,293800000,2023-12-01
242,221900000,2024-07-27
243,491300000,2024-09-12
244,98500000,2024-05-25
245,450900000,2024-11-13
246,422400000,2024-08-25
247,487800000,2025-03-31
248,331500000,2025-01-26
249,411500000,2024-04-17
250,126400000,2024-11-14
251,124700000,2024-06-23
252,148700000,2024-07-15
253,295100000,2025-04-08
254,410500000,2025-07-02
255,150800000,2024-06-20
256,71900000,2024-05-07
257,292100000,2024-07-15
258,108100000,2025-09-15
259,109700000,2025-02-14
260,396900000,2025-01-19
261,177200000,2024-12-28
262,405900000,2025-06-06
263,334000000,2024-01-07
264,74000000,2024-07-21
265,422800000,2024-05-17
266,366552220,2024-06-17
267,233900000,2024-04-19
268,196900000,2023-11-11
269,214300000,2024-11-25
270,497700000,2023-10-10
271,51100000,2025-02-02
272,318715263,2024-02-17
273,101000000,2025-04-08
274,241300000,2024-09-13
275,431700000,2024-09-12
276,83000000,2025-04-26
277,263100000,2024-11-23
278,232000000,2025-06-23
279,211900000,2024-06-30
280,91400000,2024-10-19
281,203300000,2024-10-14
282,99900000,2024-02-09
283,344100000,2025-08-11
284,74000000,2025-01-24
285,268300000,2024-12-31
286,194200000,2025-08-19
287,494100000,2023-11-20
288,321700000,2024-09-01
289,140800000,2025-06-21
290,449100000,2025-09-22
291,51400000,2025-08-23
292,456400000,2024-08-13
293,415800000,2024-11-17
294,51000000,2024-08-01
295,442700000,2024-04-20
296,291500000,2025-09-08
297,181800000,2025-05-22
298,178600000,2023-10-22
299,90600000,2025-04-04
300,291200000,2024-09-23
301,117100000,2025-10-03
302,352600000,2024-04-25
303,120200000,2024-12-06
304,243000000,2024-08-06
305,223500000,2024-04-09
306,261200000,2023-10-22
307,475700000,2025-03-10
308,136500000,2023-11-16
309,191000000,2025-01-24
310,270000000,2025-02-01
311,312800000,2025-05-02
312,96000000,2024-08-28
313,97200000,2024-04-07
314,75000000,2024-03-02
315,124000000,2024-06-27
316,57200000,2024-11-17
317,275500000,2024-12-06
318,56000000,2025-08-12
319,316300000,2025-03-02
320,311800000,2024-05-06
321,331100000,2025-06-18
322,435600000,2024-04-20
323,301500000,2024-01-15
324,436800000,2024-12-21
325,330700000,2025-07-15
326,306700000,2025-01-26
327,401700000,2023-11-23
328,485000000,2024-06-04
329,186800000,2025-06-15
330,185000000,2024-06-07
331,223000000,2024-07-26
332,488000000,2024-03-28
333,391400000,2024-05-06
334,162300000,2025-08-15
335,457700000,2024-01-01
336,499000000,2025-08-31
337,172100000,2025-08-09
338,626403825,2024-02-05
339,57900000,2024-07-02
340,199800000,2025-06-23
341,180500000,2023-12-11
342,142500000,2024-11-11
343,327100000,2024-01-07
344,171700000,2025-03-16
345,456100000,2024-09-11
346,360100000,2024-02-16
347,134000000,2024-08-23
348,423700000,2025-01-03
349,420700000,2025-02-02
350,498600000,2025-02-15
351,203600000,2024-10-26
352,419000000,2024-01-31
353,445600000,2023-10-19
354,462900000,2024-04-19
355,163100000,2024-08-20
356,332800000,2025-02-06
357,443500000,2024-08-09
358,96300000,2025-05-05
359,343800000,2024-12-08
360,88400000,2024-07-01
361,234700000,2024-01-18
362,111000000,2024-11-03
363,266400000,2025-09-05
364,91600000,2024-05-13
365,480400000,2024-02-28
366,321800000,2025-04-20
367,82600000,2024-02-03
368,70200000,2024-09-19
369,490700000,2023-12-01
370,109000000,2025-04-13
371,107700000,2025-08-19
372,101800000,2025-04-29
373,120800000,2024-11-03
374,497000000,2024-03-04
375,54100000,2025-06-20
376,223400000,2024-07-19
377,209100000,2024-10-14
378,255300000,2025-01-29
379,208500000,2024-06-16
380,53900000,2024-12-07
381,448900000,2025-07-19
382,265600000,2024-02-01
383,224200000,2024-09-28
384,159600000,2024-06-29
385,415500000,2025-06-04
386,239800000,2024-10-07
387,315400000,2024-11-26
388,473200000,2024-01-30
389,410300000,2025-09-23
390,238600000,2024-10-25
391,154700000,2024-05-02
392,197400000,2024-01-22
393,444500000,2023-12-30
394,421400000,2025-01-06
395,172500000,2024-02-29
396,491700000,2025-08-14
397,362300000,2025-07-30
398,240400000,2023-11-19
399,357200000,2025-02-17
400,349500000,2025-01-28
401,257800000,2025-09-19
402,327200000,2025-03-05
403,169000000,2024-03-24
404,80900000,2024-09-22
405,209500000,2024-02-13
406,121100000,2024-10-13
407,335100000,2024-06-15
408,109200000,2024-05-17
409,328200000,2024-08-14
410,363400000,2024-11-26
411,253300000,2024-07-01
412,199700000,2023-12-27
413,254500000,2024-05-09
414,55400000,2023-10-22
415,155000000,2025-08-12
416,148600000,2024-05-04
417,346200000,2025-10-10
418,397200000,2024-02-28
419,237200000,2024-10-29
420,160100000,2025-08-26
421,183800000,2023-10-29
422,331900000,2024-11-19
423,416100000,2024-03-14
424,114800000,2023-11-07
425,389100000,2024-10-07
426,134300000,2024-05-19
427,135100000,2025-08-10
428,73400000,2024-01-13
429,406300000,2025-05-15
430,262800000,2023-12-03
431,440800000,2024-12-14
432,373300000,2024-07-29
433,283200000,2023-11-24
434,420900000,2024-09-06
435,281100000,2025-07-29
436,454300000,2024-02-07
437,95900000,2024-07-30
438,365200000,2025-06-05
439,437300000,2025-01-10
440,212700000,2024-10-16
441,187100000,2023-11-05
442,354200000,2025-06-27
443,176000000,2024-09-07
444,359400000,2023-12-30
445,315100000,2024-02-22
446,265700000,2025-02-02
447,205500000,2025-07-20
448,85800000,2024-09-27
449,368300000,2024-10-27
450,452500000,2024-06-23
451,267700000,2024-12-26
452,485500000,2025-01-28
453,425700000,2025-02-07
454,338600000,2025-04-13
455,258100000,2024-02-15
456,297200000,2024-01-16
457,127200000,2024-12-06
458,125200000,2023-10-08
459,296000000,2024-08-25
460,391200000,2025-04-18
461,311500000,2024-11-05
462,231900000,2025-07-28
463,119600000,2024-11-30
464,479400000,2025-02-26
465,312700000,2024-08-17
466,213500000,2024-10-18
467,285600000,2024-11-15
468,499500000,2025-01-05
469,189500000,2024-05-03
470,345000000,2024-03-27
471,447000000,2025-03-22
472,323200000,2024-05-15
473,100700000,2024-11-20
474,476500000,2024-01-23
475,417900000,2025-08-14
476,168900000,2025-05-13
477,74100000,2023-11-08
478,268600000,2024-07-14
479,461500000,2025-05-24
480,384700000,2024-03-11
481,451300000,2025-09-19
482,476500000,2023-12-28
483,205500000,2024-04-05
484,473500000,2024-04-14
485,388700000,2024-01-03
486,151200000,2025-04-30
487,743990066,2025-03-14
488,393700000,2024-12-09
489,60000000,2025-03-05
490,421700000,2025-01-28
491,90000000,2024-05-19
492,196000000,2025-09-27
493,351900000,2024-12-17
494,319600000,2024-09-13
495,446200000,2025-08-10
496,456600000,2024-03-04
497,146600000,2023-10-27
498,280700000,2025-10-03
499,193800000,2024-10-10
500,489800000,2024-10-24
501,488900000,2024-09-29
502,369100000,2025-07-20
503,420200000,2024-02-17
504,464500000,2025-04-23
505,167300000,2025-05-18
506,53300000,2024-11-30
507,68400000,2025-01-10
508,411300000,2024-10-25
509,272000000,2024-08-05
510,156500000,2024-01-01
511,371000000,2025-10-13
512,431400000,2024-04-29
513,435400000,2024-09-30
514,833606123,2024-05-24
515,137600000,2024-05-21
516,445100000,2023-12-12
517,448600000,2024-05-26
518,107000000,2025-04-03
519,50100000,2025-03-28
520,295500000,2024-07-11
521,352400000,2024-02-28
522,310600000,2024-02-03
523,345100000,2024-09-09
524,167900000,2025-05-18
525,197200000,2025-05-22
526,461000000,2024-11-28
527,115500000,2025-04-27
528,113900000,2025-09-29
529,321500000,2023-11-15
530,188500000,2024-03-04
531,256400000,2024-01-21
532,352900000,2025-08-18
533,168800000,2024-01-10
534,94500000,2023-11-27
535,361100000,2025-06-16
536,362900000,2024-02-03
537,273300000,2024-09-05
538,298309986,2024-11-22
539,337900000,2025-04-06
540,149700000,2024-05-03
541,257500000,2024-12-07
542,277100000,2024-08-26
543,452800000,2024-11-29
544,228900000,2025-10-03
545,415200000,2024-05-31
546,370500000,2025-06-18
547,149200000,2024-07-19
548,115900000,2025-08-04
549,206400000,2023-11-18
550,245300000,2025-03-12
551,327900000,2024-01-29
552,109000000,2024-12-05
553,61700000,2025-08-09
554,143500000,2024-05-13
555,497100000,2024-12-17
556,187600000,2024-04-18
557,179200000,2024-01-09
558,390900000,2025-10-08
559,385778324,2025-07-15
560,146200000,2024-04-23
561,93400000,2024-01-10
562,283500000,2024-09-30
563,869918385,2024-05-04
564,317100000,2024-09-11
565,94500000,2024-04-05
566,215600000,2024-10-09
567,230100000,2025-07-25
568,227300000,2024-12-19
569,232100000,2024-03-22
570,398700000,2025-03-20
571,383100000,2024-08-15
572,69900000,2023-11-05
573,484900000,2025-01-26
574,92200000,2023-11-25
575,217700000,2025-06-16
576,234600000,2025-04-05
577,435100000,2024-02-07
578,121500000,2024-02-18
579,171200000,2024-04-18
580,438200000,2025-08-18
581,240300000,2025-09-11
582,301000000,2024-08-29
583,488500000,2024-02-07
584,153600000,2024-04-09
585,487100000,2025-02-19
586,292100000,2025-08-16
587,164200000,2024-11-01
588,277600000,2024-05-19
589,469000000,2025-08-12
590,415000000,2025-06-24
591,120500000,2024-10-20
592,389500000,2024-06-08
593,297300000,2025-10-12
594,151700000,2025-05-09
595,453900000,2025-03-27
596,469800000,2024-07-25
597,93300000,2025-05-27
598,470900000,2024-10-25
599,272300000,2024-05-13
600,328700000,2024-10-26
601,775575242,2023-11-27
602,311084465,2025-09-04
603,114300000,2024-05-18
604,76800000,2024-11-23
605,218200000,2023-11-04
606,338500000,2024-06-12
607,483200000,2024-06-11
608,350200000,2025-01-08
609,383800000,2024-11-18
610,117300000,2025-05-13
611,439600000,2024-09-02
612,378100000,2024-03-07
613,150500000,2024-03-02
614,468900000,2024-10-27
615,161833382,2025-07-08
616,112600000,2024-08-27
617,75800000,2023-11-09
618,184400000,2024-04-12
619,465000000,2024-08-02
620,155000000,2025-03-23
621,387400000,2023-10-01
622,326500000,2023-09-22
623,68200000,2025-04-17
624,186500000,2024-05-17
625,88900000,2025-06-17
626,399800000,2024-01-13
627,255800000,2024-02-21
628,269400000,2025-02-12
629,406600000,2025-06-09
630,382400000,2025-05-21
631,215400000,2024-07-12
632,118700000,2024-11-26
633,477500000,2024-06-18
634,243200000,2023-11-28
635,451700000,2024-07-06
636,347300000,2023-11-12
637,246300000,2023-12-24
638,259300000,2025-03-12
639,382800000,2025-08-11
640,464700000,2024-04-22
641,52500000,2024-04-28
642,386100000,2025-03-25
643,119100000,2024-02-21
644,122800000,2024-04-02
645,351400000,2025-04-17
646,285800000,2024-05-27
647,169500000,2024-12-09
648,314800000,2024-06-07
649,435700000,2025-06-27
650,297800000,2025-04-20
651,327800000,2023-12-15
652,458900000,2025-08-09
653,185100000,2025-02-10
654,94700000,2025-05-13
655,453800000,2025-01-24
656,197900000,2024-10-13
657,251600000,2024-12-04
658,136800000,2024-02-07
659,316100000,2023-12-22
660,107900000,2025-05-27
661,183400000,2023-12-24
662,157500000,2024-08-03
663,123900000,2024-06-21
664,429700000,2024-01-05
665,408200000,2024-09-09
666,112600000,2023-12-31
667,143300000,2024-03-24
668,307100000,2024-12-28
669,137100000,2024-07-30
670,298000000,2023-12-12
671,63000000,2024-12-18
672,120500000,2025-08-11
673,66000000,2024-05-06
674,390500000,2025-06-15
675,239900000,2024-12-25
676,455300000,2025-03-24
677,327800000,2024-02-10
678,436900000,2024-05-15
679,453100000,2023-11-30
680,343900000,2024-04-22
681,148800000,2024-10-12
682,91300000,2024-04-22
683,84300000,2024-12-22
684,131300000,2024-09-08
685,250900000,2024-05-22
686,174100000,2024-07-15
687,74300000,2025-07-11
688,405500000,2024-07-08
689,306900000,2024-06-03
690,332800000,2024-10-12
691,369400000,2024-07-24
692,69100000,2025-05-10
693,262700000,2024-05-24
694,421200000,2025-07-23
695,359300000,2023-12-28
696,664478955,2025-01-12
697,266000000,2025-03-21
698,155900000,2025-04-30
699,147200000,2024-08-23
700,299700000,2025-07-09
701,89800000,2024-01-15
702,105300000,2024-04-30
703,163400000,2025-06-12
704,412900000,2024-09-03
705,207600000,2025-01-23
706,461700000,2024-11-11
707,119300000,2025-06-11
708,389900000,2025-01-08
709,123400000,2025-06-12
710,294100000,2024-02-13
711,243700000,2024-12-15
712,383400000,2025-06-04
713,251700000,2023-09-27
714,166600000,2024-04-20
715,430600000,2024-12-28
716,361400000,2024-09-04
717,164400000,2024-10-01
718,273600000,2024-01-27
719,86354458,2024-11-01
720,339100000,2024-09-06
721,208000000,2025-06-18
722,241900000,2024-05-12
723,140800000,2025-06-12
724,103500000,2024-09-28
725,486500000,2023-12-24
726,404300000,2024-05-22
727,768917306,2023-11-05
728,211200000,2025-08-10
729,255100000,2025-03-10
730,128300000,2024-10-20
731,100700000,2024-06-13
732,379000000,2024-09-17
733,328200000,2025-01-13
734,208600000,2025-02-21
735,86100000,2023-10-30
736,330900000,2024-09-27
737,331600000,2024-07-21
738,432800000,2024-03-25
739,84500000,2025-01-11
740,357900000,2024-02-03
741,166600000,2024-03-19
742,229300000,2024-04-22
743,132800000,2025-02-12
744,355000000,2025-02-05
745,310400000,2024-06-22
746,252400000,2025-01-10
747,467100000,2025-09-04
748,79900000,2025-03-14
749,258500000,2023-12-16
750,431100000,2024-01-07
751,565738718,2025-03-20
752,81300000,2024-08-20
753,494900000,2024-12-18
754,375600000,2024-02-15
755,306400000,2025-04-15
756,155100000,2024-10-26
757,317100000,2024-02-05
758,362300000,2025-02-07
759,126300000,2023-09-29
760,106900000,2024-02-22
761,351900000,2025-02-25
762,156400000,2025-04-09
763,166800000,2025-04-22
764,124600000,2024-02-16
765,425000000,2025-07-04
766,274200000,2023-11-17
767,352000000,2024-12-20
768,428600000,2025-06-21
769,317900000,2024-12-09
770,164800000,2024-12-08
771,487900000,2025-06-16
772,195700000,2024-12-09
773,369900000,2024-12-16
774,450828424,2023-11-29
775,186800000,2025-08-10
776,240300000,2024-04-13
777,230300000,2024-09-27
778,489200000,2024-03-28
779,322000000,2025-08-23
780,363200000,2024-02-18
781,303000000,2025-05-27
782,292900000,2025-07-08
783,319200000,2024-12-17
784,69400000,2024-02-09
785,232200000,2024-05-12
786,174422695,2025-07-21
787,399100000,2024-02-09
788,298300000,2024-05-23
789,376200000,2024-04-18
790,490000000,2025-07-01
791,161900000,2024-10-07
792,373200000,2025-02-10
793,209100000,2024-10-15
794,252100000,2024-08-28
795,170700000,2025-04-14
796,375700000,2024-09-29
797,302200000,2025-08-31
798,221600000,2025-02-04
799,480000000,2025-06-17
800,212200000,2024-03-05
801,207100000,2024-10-25
802,549303277,2025-07-15
803,84200000,2024-11-09
804,331000000,2024-12-16
805,163700000,2025-09-07
806,203900000,2023-12-17
807,446900000,2023-12-21
808,476000000,2024-10-14
809,187600000,2024-03-16
810,136400000,2024-01-22
811,161200000,2025-03-03
812,331100000,2023-12-31
813,121800000,2023-11-27
814,735666938,2025-05-03
815,373800000,2025-02-21
816,169400000,2023-10-25
817,226700000,2023-12-04
818,521878756,2024-11-18
819,370600000,2023-10-05
820,94300000,2025-08-08
821,228600000,2024-10-27
822,358400000,2024-07-14
823,146100000,2024-01-06
824,450200000,2025-08-06
825,145500000,2024-08-15
826,198300000,2023-12-17
827,382000000,2025-01-31
828,198000000,2024-06-09
829,78600000,2025-09-13
830,87800000,2025-08-28
831,490900000,2025-09-18
832,295500000,2025-04-25
833,110900000,2024-07-21
834,398400000,2025-05-30
835,468900000,2024-04-22
836,485300000,2024-11-17
837,274100000,2025-05-22
838,128200000,2024-03-06
839,440600000,2024-03-18
840,254000000,2025-02-22
841,476400000,2024-10-13
842,246600000,2024-03-19
843,397300000,2024-11-02
844,398100000,2025-09-20
845,193200000,2024-08-08
846,254600000,2024-06-27
847,372400000,2025-06-05
848,427100000,2023-09-23
849,453000000,2023-09-30
850,356600000,2023-10-22
851,405500000,2024-11-22
852,373200000,2025-04-30
853,455900000,2025-03-29
854,459600000,2025-01-23
855,252900000,2025-01-12
856,212500000,2023-11-20
857,378700000,2024-10-21
858,231600000,2024-12-02
859,312000000,2024-12-09
860,279500000,2025-03-17
861,321300000,2023-12-11
862,148500000,2025-10-09
863,296900000,2024-09-09
864,334500000,2024-06-22
865,479000000,2023-09-21
866,205800000,2024-02-28
867,378300000,2024-10-21
868,298500000,2024-02-04
869,289000000,2025-05-02
870,487900000,2025-06-11
871,384500000,2025-06-01
872,194700000,2024-12-09
873,412200000,2025-04-23
874,426300000,2024-10-12
875,372900000,2024-06-25
876,132100000,2025-08-26
877,85800000,2024-07-09
878,119600000,2025-06-08
879,495200000,2024-03-13
880,134000000,2023-10-24
881,365700000,2023-10-30
882,342700000,2024-07-27
883,198500000,2025-10-15
884,352300000,2024-04-17
885,312300000,2024-09-18
886,154400000,2025-07-03
887,363900000,2024-01-15
888,481600000,2024-03-15
889,346800000,2023-10-23
890,394900000,2025-07-26
891,354400000,2025-06-09
892,165700000,2023-12-13
893,435100000,2023-11-06
894,76300000,2024-05-04
895,261300000,2025-05-22
896,477200000,2024-10-22
897,113200000,2025-05-23
898,113700000,2024-01-26
899,103500000,2023-10-11
900,446300000,2025-02-04
901,370000000,2023-10-26
902,69400000,2024-01-06
903,114500000,2024-03-27
904,416500000,2023-11-19
905,457500000,2023-12-27
906,189000000,2025-08-24
907,261300000,2025-04-25
908,411100000,2025-05-03
909,250500000,2024-10-16
910,232700000,2023-11-13
911,138700000,2024-10-01
912,236295781,2024-05-24
913,101100000,2025-09-26
914,194200000,2024-05-20
915,200700000,2024-03-31
916,407800000,2024-01-18
917,315200000,2024-02-24
918,382900000,2024-09-22
919,394200000,2024-08-29
920,348000000,2024-07-17
921,338500000,2024-06-24
922,494600000,2025-08-15
923,386900000,2024-02-19
924,223500000,2024-03-20
925,388200000,2024-01-09
926,301800000,2024-08-09
927,175600000,2025-03-22
928,207800000,2025-06-11
929,131500000,2024-07-28
930,71000000,2023-12-30
931,156900000,2025-07-15
932,359700000,2023-10-07
933,140800000,2023-12-27
934,220300000,2024-06-27
935,376040751,2025-10-04
936,179700000,2023-11-07
937,227100000,2025-06-13
938,153600000,2025-08-18
939,208100000,2023-11-28
940,449600000,2024-02-26
941,418100000,2025-06-26
942,314300000,2023-10-18
943,150100000,2024-03-08
944,282300000,2025-08-22
945,454600000,2024-05-11
946,243600000,2023-11-17
947,80300000,2025-01-27
948,296500000,2024-08-21
949,294400000,2023-12-08
950,58500000,2024-08-17
951,93000000,2024-02-19
952,360900000,2025-01-20
953,477400000,2024-08-15
954,117800000,2024-11-21
955,433500000,2025-08-25
956,463200000,2024-06-09
957,396500000,2024-03-04
958,63500000,2024-12-18
959,340300000,2025-09-07
960,90200000,2025-06-27
961,474800000,2024-07-25
962,268000000,2024-01-29
963,455600000,2025-02-24
964,300100000,2024-11-08
965,438700000,2024-12-05
966,437100000,2025-10-12
967,126900000,2024-04-02
968,338800000,2025-07-01
969,230400000,2025-04-10
970,219000000,2024-12-15
971,481600000,2024-11-27
972,150700000,2024-11-14
973,478500000,2023-12-05
974,62700000,2023-11-02
975,90800000,2023-09-29
976,796966500,2025-05-31
977,304500000,2025-04-09
978,296600000,2023-12-06
979,306600000,2024-12-31
980,394800000,2025-07-18
981,93800000,2023-12-01
982,119300000,2025-01-19
983,99800000,2024-06-03
984,161700000,2024-01-20
985,175300000,2025-02-02
986,149700000,2025-03-24
987,871831753,2024-04-18
988,287500000,2024-08-06
989,171300000,2024-01-23
990,164100000,2025-03-26
991,470200000,2025-07-24
992,105800000,2024-02-23
993,335100000,2025-08-30
994,459100000,2025-03-08
995,394100000,2025-09-14
996,192500000,2024-06-18
997,408400000,2024-07-23
998,128800000,2025-01-17
999,205700000,2024-09-21
1000,108000000,2024-03-24
1001,68400000,2024-06-25
1002,474100000,2025-04-17
1003,74500000,2024-07-18
1004,243000000,2024-02-23
1005,442200000,2025-07-28
1006,441200000,2024-11-22
1007,487600000,2025-07-28
1008,402000000,2024-01-22
1009,58200000,2025-07-12
1010,96400000,2023-09-28
1011,442100000,2023-12-05
1012,413300000,2024-03-10
1013,333900000,2025-05-10
1014,150500000,2024-06-08
1015,67400000,2025-04-17
1016,365100000,2025-02-23
1017,75600000,2024-01-12
1018,96700000,2024-07-10
1019,183100000,2024-08-08
1020,494600000,2024-04-06
1021,312900000,2024-04-10
1022,443300000,2024-08-07
1023,102400000,2024-02-27
1024,170300000,2023-09-27
1025,309900000,2024-04-29
1026,139400000,2024-03-16
1027,390700000,2024-03-07
1028,356900000,2023-12-22
1029,137000000,2024-06-08
1030,113300000,2024-10-30
1031,309600000,2025-02-08
1032,144500000,2024-02-27
1033,417700000,2024-07-01
1034,116700000,2023-10-24
1035,265700000,2024-10-06
1036,109800000,2025-07-16
1037,147500000,2024-01-27
1038,417700000,2025-03-29
1039,174700000,2025-05-13
1040,240200000,2024-12-19
1041,402600000,2025-07-16
1042,274300000,2024-11-09
1043,72400000,2024-10-18
1044,216400000,2024-08-09
1045,414000000,2024-12-02
1046,110900000,2023-12-30
1047,205900000,2024-02-27
1048,230300000,2023-12-27
1049,472900000,2023-11-10
1050,361500000,2025-07-02
1051,342500000,2024-05-30
1052,144800000,2024-08-19
1053,450700000,2024-11-13
1054,264300000,2024-11-15
1055,302700000,2025-05-23
1056,67200000,2025-05-31
1057,178600000,2024-09-11
1058,61100000,2024-11-30
1059,77600000,2025-10-18
1060,66500000,2025-06-20
1061,315100000,2025-08-13
1062,358400000,2024-05-08
1063,372400000,2025-01-12
1064,375500000,2023-11-09
1065,188600000,2024-08-25
1066,98200000,2023-10-30
1067,269600000,2025-04-19
1068,205852934,2025-05-30
