sr_no,work_category,work_description,state,ida_agency,work_description,mp_name,constituency,image,completion_date,expenditure_amount
54,Normal/Others,"Kakrala colony men Suresh Gupta ke makan ke samne se rajvir ke farm house hote huye pawan singh ke makan tak interlocking & naali nirman kary, 90 meter",Uttar Pradesh,GAUTAM BUDDHA NAGAR(DISTRICT MAGISTRATE GAUTAMBUDHNAGAR),"Kakrala colony men Suresh Gupta ke makan ke samne se rajvir ke farm house hote huye pawan singh ke makan tak interlocking & naali nirman kary, 90 meter",Mahesh Sharma,GAUTAM BUDDHA NAGAR,Images,2025-09-09,998231.0
55,Normal/Others,"Kanawani men Deepak Nagar ke makaan se lekar mohit Sharma ke makaan ki or interlocking & naali kary, 92 meter",Uttar Pradesh,GAUTAM BUDDHA NAGAR(DISTRICT MAGISTRATE GAUTAMBUDHNAGAR),"Kanawani men Deepak Nagar ke makaan se lekar mohit Sharma ke makaan ki or interlocking & naali kary, 92 meter",Mahesh Sharma,GAUTAM BUDDHA NAGAR,Images,2025-09-09,998269.0
56,Normal/Others,"Main Girdharpur sampark marg chakki wali gali ki aur interlocking & naali nirmaan karya, 78 meter.",Uttar Pradesh,GAUTAM BUDDHA NAGAR(DISTRICT MAGISTRATE GAUTAMBUDHNAGAR),"Main Girdharpur sampark marg chakki wali gali ki aur interlocking & naali nirmaan karya, 78 meter.",Mahesh Sharma,GAUTAM BUDDHA NAGAR,Images,2025-09-09,998160.0
57,Normal/Others,"Gram Kheda Dharampur mein madan ke ghar se lekar R G International school ki ore interlocking nali nirmaan karya, 90 meter",Uttar Pradesh,GAUTAM BUDDHA NAGAR(DISTRICT MAGISTRATE GAUTAMBUDHNAGAR),"Gram Kheda Dharampur mein madan ke ghar se lekar R G International school ki ore interlocking nali nirmaan karya, 90 meter",Mahesh Sharma,GAUTAM BUDDHA NAGAR,Images,2025-09-09,786302.0
58,Normal/Others,"Kulesara ke Shiv enclave, greater Noida mein Shivkumar Se Aanchal Ke Makaan tak interlocking & Nalli nirman, 90 meter",Uttar Pradesh,GAUTAM BUDDHA NAGAR(DISTRICT MAGISTRATE GAUTAMBUDHNAGAR),"Kulesara ke Shiv enclave, greater Noida mein Shivkumar Se Aanchal Ke Makaan tak interlocking & Nalli nirman, 90 meter",Mahesh Sharma,GAUTAM BUDDHA NAGAR,Images,2025-09-09,998123.0
59,Normal/Others,"Gram Dadupur katana me Mukhya Marg School primary school se lekar Naharpul ki ore se CC Road, Nirman karya, 65 meter",Uttar Pradesh,GAUTAM BUDDHA NAGAR(DISTRICT MAGISTRATE GAUTAMBUDHNAGAR),"Gram Dadupur katana me Mukhya Marg School primary school se lekar Naharpul ki ore se CC Road, Nirman karya, 65 meter",Mahesh Sharma,GAUTAM BUDDHA NAGAR,Images,2025-09-09,998078.0
60,Normal/Others,"Sai Enclave Colony, Chipiyana Buzurg main Himanshu Upadhyay ke Makaan se lekar Harender Kumar ke Makaan ki ore interlocking & Nalli Nirman karya, 67 meter",Uttar Pradesh,GAUTAM BUDDHA NAGAR(DISTRICT MAGISTRATE GAUTAMBUDHNAGAR),"Sai Enclave Colony, Chipiyana Buzurg main Himanshu Upadhyay ke Makaan se lekar Harender Kumar ke Makaan ki ore interlocking & Nalli Nirman karya, 67 meter",Mahesh Sharma,GAUTAM BUDDHA NAGAR,Images,2025-09-09,797062.0
61,Normal/Others,"Sidipur main Tatarpur NTPC Road se lekar Jitender Sharma Ke Makaan ki ore CC Road & nali nirman, 80 meter",Uttar Pradesh,GAUTAM BUDDHA NAGAR(DISTRICT MAGISTRATE GAUTAMBUDHNAGAR),"Sidipur main Tatarpur NTPC Road se lekar Jitender Sharma Ke Makaan ki ore CC Road & nali nirman, 80 meter",Mahesh Sharma,GAUTAM BUDDHA NAGAR,Images,2025-09-09,998346.0
62,Normal/Others,"Salarpur Kalan Dadri Mai Main Road Se lekar Moolchand Pradhan Ke Makaan ki aur interlocking Naali Nirman Karya, 100 meter",Uttar Pradesh,GAUTAM BUDDHA NAGAR(DISTRICT MAGISTRATE GAUTAMBUDHNAGAR),"Salarpur Kalan Dadri Mai Main Road Se lekar Moolchand Pradhan Ke Makaan ki aur interlocking Naali Nirman Karya, 100 meter",Mahesh Sharma,GAUTAM BUDDHA NAGAR,Images,2025-09-09,996693.0
63,Normal/Others,"Laudana men Gaura Balmiki ke plant se lekar giri Sharma ke makaan ki ore interlocking & naali nirman, 116 meter",Uttar Pradesh,GAUTAM BUDDHA NAGAR(DISTRICT MAGISTRATE GAUTAMBUDHNAGAR),"Laudana men Gaura Balmiki ke plant se lekar giri Sharma ke makaan ki ore interlocking & naali nirman, 116 meter",Mahesh Sharma,GAUTAM BUDDHA NAGAR,Images,2025-09-09,998016.0
64,Normal/Others,"Mangrouli jewar me prabhat ke ghar se lekar satyaveer ke ghar ki ore CC road & naali nirman, 100 meter",Uttar Pradesh,GAUTAM BUDDHA NAGAR(DISTRICT MAGISTRATE GAUTAMBUDHNAGAR),"Mangrouli jewar me prabhat ke ghar se lekar satyaveer ke ghar ki ore CC road & naali nirman, 100 meter",Mahesh Sharma,GAUTAM BUDDHA NAGAR,Images,2025-09-09,996582.0
65,Normal/Others,"Village-Jhuppa men ravindra ke makaan se lekar mahipal Sharma ke makaan ki ore CC road & naali nirman, 73 meter",Uttar Pradesh,GAUTAM BUDDHA NAGAR(DISTRICT MAGISTRATE GAUTAMBUDHNAGAR),"Village-Jhuppa men ravindra ke makaan se lekar mahipal Sharma ke makaan ki ore CC road & naali nirman, 73 meter",Mahesh Sharma,GAUTAM BUDDHA NAGAR,Images,2025-09-09,998358.0
66,Normal/Others,"Samaspur Dankaur mandal me Krishna Bansal ke makaan se lekar mohan baba mandir ki ore CC road & naali nirman, 103 meter",Uttar Pradesh,GAUTAM BUDDHA NAGAR(DISTRICT MAGISTRATE GAUTAMBUDHNAGAR),"Samaspur Dankaur mandal me Krishna Bansal ke makaan se lekar mohan baba mandir ki ore CC road & naali nirman, 103 meter",Mahesh Sharma,GAUTAM BUDDHA NAGAR,Images,2025-09-09,998154.0
67,Normal/Others,"Chiti men Giriraj ke makaan se lekar rajesh sharma ke makaan ki ore interlocking & naali nirman, 83 meter",Uttar Pradesh,GAUTAM BUDDHA NAGAR(DISTRICT MAGISTRATE GAUTAMBUDHNAGAR),"Chiti men Giriraj ke makaan se lekar rajesh sharma ke makaan ki ore interlocking & naali nirman, 83 meter",Mahesh Sharma,GAUTAM BUDDHA NAGAR,Images,2025-09-09,998067.0
68,Normal/Others,"Kanarsi Dankaur me harikishan ke makaan se lekar mahri ke makaan ki ore interlocking & naali nirman, 75 meter",Uttar Pradesh,GAUTAM BUDDHA NAGAR(DISTRICT MAGISTRATE GAUTAMBUDHNAGAR),"Kanarsi Dankaur me harikishan ke makaan se lekar mahri ke makaan ki ore interlocking & naali nirman, 75 meter",Mahesh Sharma,GAUTAM BUDDHA NAGAR,Images,2025-09-09,997341.0
69,Normal/Others,"Mangrauli men satveer ke ghar se lekar rajendra ke ghar ki ore CC road & naali nirman, 90 meter",Uttar Pradesh,GAUTAM BUDDHA NAGAR(DISTRICT MAGISTRATE GAUTAMBUDHNAGAR),"Mangrauli men satveer ke ghar se lekar rajendra ke ghar ki ore CC road & naali nirman, 90 meter",Mahesh Sharma,GAUTAM BUDDHA NAGAR,Images,2025-09-09,996363.0
70,Normal/Others,"Kasna men 6 pratishat plot men C Block se lekar 19 D ki ore CC road & naali nirman, 35 meter",Uttar Pradesh,GAUTAM BUDDHA NAGAR(DISTRICT MAGISTRATE GAUTAMBUDHNAGAR),"Kasna men 6 pratishat plot men C Block se lekar 19 D ki ore CC road & naali nirman, 35 meter",Mahesh Sharma,GAUTAM BUDDHA NAGAR,Images,2025-09-09,533454.0
71,Normal/Others,"Vilaspur men Rampur road se lekar merry Dairy ki ore interlocking & naali nirman, 91 meter",Uttar Pradesh,GAUTAM BUDDHA NAGAR(DISTRICT MAGISTRATE GAUTAMBUDHNAGAR),"Vilaspur men Rampur road se lekar merry Dairy ki ore interlocking & naali nirman, 91 meter",Mahesh Sharma,GAUTAM BUDDHA NAGAR,Images,2025-09-09,906023.0
72,Normal/Others,Installation of RO System and water cooler in Govt Primary school Dana Romana,Punjab,FARIDKOT(DEPUTY COMMISSIONER FARIDKOT_IDA),Installation of RO System and water cooler in Govt Primary school Dana Romana,Sarabjeet Singh Khalsa,FARIDKOT(SC),,2025-04-07,84500.0
73,Normal/Others,Installation of RO System and water cooler in Govt Primary school Ratti Rori Tibbian,Punjab,FARIDKOT(DEPUTY COMMISSIONER FARIDKOT_IDA),Installation of RO System and water cooler in Govt Primary school Ratti Rori Tibbian,Sarabjeet Singh Khalsa,FARIDKOT(SC),,2025-04-07,84500.0
74,Normal/Others,Installation of RO System and water cooler in Govt Primary school,Punjab,FARIDKOT(DEPUTY COMMISSIONER FARIDKOT_IDA),Installation of RO System and water cooler in Govt Primary school,Sarabjeet Singh Khalsa,FARIDKOT(SC),,2025-04-07,84500.0
