source_house,source_file,source_row_number,sr_no,state,honble_members_of_parliament,elected/nominated,allocated_amount_₹
RAJYA_SABHA,Allocated Limit for Honble MPs (4).csv,23,22,Delhi,Dr. Meenakshi Jain (2025-31) (2025-2031),Nominated MP,73500000.0
RAJYA_SABHA,Allocated Limit for Honble MPs (4).csv,24,23,Gujarat,Dr. Mukeshbhai J. Rathwa (2026-32) (2026-2032),Elected MP,49000000.0
RAJYA_SABHA,Allocated Limit for Honble MPs (4).csv,25,24,Gujarat,Dr. Parmar Jashvantsinh Salamsinh (2024-30) (2024-2030),Elected MP,147000000.0
RAJYA_SABHA,Allocated Limit for Honble MPs (4).csv,26,25,Uttar Pradesh,Dr. Radha Mohan Das Agrawal (2022-28) (2022-2028),Elected MP,203626524.7
RAJYA_SABHA,Allocated Limit for Honble MPs (4).csv,27,26,Punjab,Dr. Sandeep Kumar Pathak (2022-28) (2022-2028),Elected MP,232203454.2
RAJYA_SABHA,Allocated Limit for Honble MPs (4).csv,28,27,Uttar Pradesh,Dr. Sangeeta Balwant (2024-30) (2024-2030),Elected MP,147000000.0
RAJYA_SABHA,Allocated Limit for Honble MPs (4).csv,29,28,Odisha,Dr. Santrupt Misra (2026-32) (2026-2032),Elected MP,49000000.0
RAJYA_SABHA,Allocated Limit for Honble MPs (4).csv,30,29,Jharkhand,Dr. Sarfraz Ahmad (2024-30) (2024-2030),Elected MP,178564551.1
RAJYA_SABHA,Allocated Limit for Honble MPs (4).csv,31,30,Odisha,Dr. Sasmit Patra (2022-28) (2022-2028),Elected MP,196063957.1
RAJYA_SABHA,Allocated Limit for Honble MPs (4).csv,32,31,Rajasthan,Dr. Satish Poonia (2026-32) (2026-2032),Elected MP,49000000.0
RAJYA_SABHA,Allocated Limit for Honble MPs (4).csv,33,32,Himachal Pradesh,Dr. Sikander Kumar (2022-28) (2022-2028),Elected MP,207863957.1
RAJYA_SABHA,Allocated Limit for Honble MPs (4).csv,34,33,Uttar Pradesh,Dr. Sudhanshu Trivedi (2024-30) (2024-2030),Elected MP,147000000.0
RAJYA_SABHA,Allocated Limit for Honble MPs (4).csv,35,34,Karnataka,Dr. Syed Naseer Hussain (2024-30) (2024-2030),Elected MP,147000000.0
RAJYA_SABHA,Allocated Limit for Honble MPs (4).csv,36,35,Kerala,Dr. V. Sivadasan (2021-27) (2021-2027),Elected MP,276720323.3
RAJYA_SABHA,Allocated Limit for Honble MPs (4).csv,37,36,Punjab,Dr. Vikramjit Singh Sahney (2022-28) (2022-2028),Elected MP,198656208.6
RAJYA_SABHA,Allocated Limit for Honble MPs (4).csv,38,37,West Bengal,Ms. Dola Sen (2023-29) (2023-2029),Elected MP,171500000.0
RAJYA_SABHA,Allocated Limit for Honble MPs (4).csv,39,38,Delhi,Ms. Swati Maliwal (2024-30) (2024-2030),Elected MP,147000000.0
RAJYA_SABHA,Allocated Limit for Honble MPs (4).csv,40,39,Bihar,Prof. Manoj Kumar Jha (2024-30) (2024-2030),Elected MP,191620112.1
RAJYA_SABHA,Allocated Limit for Honble MPs (4).csv,41,40,Uttar Pradesh,Prof. Ram Gopal Yadav (2020-26) (2020-2026),Elected MP,221271395.1
RAJYA_SABHA,Allocated Limit for Honble MPs (4).csv,42,41,Kerala,Shri A. A. Rahim (2022-28) (2022-2028),Elected MP,220563957.1
RAJYA_SABHA,Allocated Limit for Honble MPs (4).csv,43,42,Kerala,Shri Abdul Wahab (2021-27) (2021-2027),Elected MP,310898953.3
RAJYA_SABHA,Allocated Limit for Honble MPs (4).csv,44,43,Jharkhand,Shri Aditya Prasad (2022-28) (2022-2028),Elected MP,227628508.2
RAJYA_SABHA,Allocated Limit for Honble MPs (4).csv,45,44,Karnataka,Shri Ajay Makan (2024-30) (2024-2030),Elected MP,147000000.0
RAJYA_SABHA,Allocated Limit for Honble MPs (4).csv,46,45,Bihar,Shri Akhilesh Prasad Singh (2024-30) (2024-2030),Elected MP,186200000.0
RAJYA_SABHA,Allocated Limit for Honble MPs (4).csv,47,46,Uttar Pradesh,Shri Amar Pal Maurya (2024-30) (2024-2030),Elected MP,147000000.0
RAJYA_SABHA,Allocated Limit for Honble MPs (4).csv,48,47,Telangana,Shri Anil Kumar Yadav Mandadi (2024-30) (2024-2030),Elected MP,147000000.0
RAJYA_SABHA,Allocated Limit for Honble MPs (4).csv,49,48,Himachal Pradesh,Shri Anurag Sharma (2026-32) (2026-2032),Elected MP,49000000.0
RAJYA_SABHA,Allocated Limit for Honble MPs (4).csv,50,49,Uttar Pradesh,Shri Arun Singh (2020-26) (2020-2026),Elected MP,223492764.1
RAJYA_SABHA,Allocated Limit for Honble MPs (4).csv,51,50,Madhya Pradesh,Shri Ashok Singh (2024-30) (2024-2030),Elected MP,147000000.0
RAJYA_SABHA,Allocated Limit for Honble MPs (4).csv,52,51,Maharashtra,Shri Ashokrao Shankarrao Chavan (2024-30) (2024-2030),Elected MP,147000000.0
RAJYA_SABHA,Allocated Limit for Honble MPs (4).csv,53,52,Odisha,Shri Ashwini Vaishnaw (2024-30) (2024-2030),Elected MP,265563957.1
RAJYA_SABHA,Allocated Limit for Honble MPs (4).csv,54,53,Telangana,Shri B. Parthasaradhi Reddy (2022-28) (2022-2028),Elected MP,244365104.0
RAJYA_SABHA,Allocated Limit for Honble MPs (4).csv,55,54,Uttar Pradesh,Shri B.L. Verma (2020-26) (2020-2026),Elected MP,196063957.1
RAJYA_SABHA,Allocated Limit for Honble MPs (4).csv,56,55,Gujarat,Shri Babubhai Jesangbhai Desai (2023-29) (2023-2029),Elected MP,171500000.0
RAJYA_SABHA,Allocated Limit for Honble MPs (4).csv,57,56,Uttar Pradesh,Shri Baburam Nishad (2022-28) (2022-2028),Elected MP,196063957.1
RAJYA_SABHA,Allocated Limit for Honble MPs (4).csv,58,57,Jharkhand,Shri Baidyanath Ram (2026-32) (2026-2032),Elected MP,49000000.0
RAJYA_SABHA,Allocated Limit for Honble MPs (4).csv,59,58,Madhya Pradesh,Shri Balyogi Umeshnath (2024-30) (2024-2030),Elected MP,147000000.0
RAJYA_SABHA,Allocated Limit for Honble MPs (4).csv,60,59,Madhya Pradesh,Shri Banshilal Gurjar (2024-30) (2024-2030),Elected MP,147000000.0
RAJYA_SABHA,Allocated Limit for Honble MPs (4).csv,61,60,Andhra Pradesh,Shri Bhashyam Rama Krishna (2026-32) (2026-2032),Elected MP,49000000.0
RAJYA_SABHA,Allocated Limit for Honble MPs (4).csv,62,61,Assam,Shri Birendra Prasad Baishya (2025-31) (2025-2031),Elected MP,98000000.0
RAJYA_SABHA,Allocated Limit for Honble MPs (4).csv,63,62,Uttar Pradesh,Shri Brij Lal (2020-26) (2020-2026),Elected MP,196063957.1
RAJYA_SABHA,Allocated Limit for Honble MPs (4).csv,64,63,Kerala,Shri C. Sadanandan Master (2025-31) (2025-2031),Nominated MP,73500000.0
RAJYA_SABHA,Allocated Limit for Honble MPs (4).csv,65,64,Maharashtra,Shri Chandrakant Damodar Handore (2024-30) (2024-2030),Elected MP,147000000.0
RAJYA_SABHA,Allocated Limit for Honble MPs (4).csv,66,65,Jammu And Kashmir,Shri Chowdry Mohammad Ramzan (2025-31) (2025-2031),Elected MP,73500000.0
RAJYA_SABHA,Allocated Limit for Honble MPs (4).csv,67,66,Tamil Nadu,Shri Christopher Manickam (2026-32) (2026-2032),Elected MP,49356476.5
RAJYA_SABHA,Allocated Limit for Honble MPs (4).csv,68,67,Rajasthan,Shri Chunnilal Garasiya (2024-30) (2024-2030),Elected MP,147000000.0
RAJYA_SABHA,Allocated Limit for Honble MPs (4).csv,69,68,Tamil Nadu,Shri Constandine Ravindran (2026-32) (2026-2032),Elected MP,49356476.5
RAJYA_SABHA,Allocated Limit for Honble MPs (4).csv,70,69,Telangana,Shri Damodar Rao Divakonda (2022-28) (2022-2028),Elected MP,239919406.1
RAJYA_SABHA,Allocated Limit for Honble MPs (4).csv,71,70,Odisha,Shri Debashish Samantaray (2026-30) (2026-2030),Elected MP,23800006.0
RAJYA_SABHA,Allocated Limit for Honble MPs (4).csv,72,71,West Bengal,Shri Derek O' Brien (2023-29) (2023-2029),Elected MP,171500000.0
RAJYA_SABHA,Allocated Limit for Honble MPs (4).csv,73,72,Chhattisgarh,Shri Devendra Pratap Singh (2024-30) (2024-2030),Elected MP,170837637.8
RAJYA_SABHA,Allocated Limit for Honble MPs (4).csv,74,73,Maharashtra,Shri Dhananjay Bhimrao Mahadik (2022-28) (2022-2028),Elected MP,220383643.1
RAJYA_SABHA,Allocated Limit for Honble MPs (4).csv,75,74,Odisha,Shri Dilip Kumar Ray (2026-32) (2026-2032),Elected MP,49000000.0
RAJYA_SABHA,Allocated Limit for Honble MPs (4).csv,76,75,Sikkim,Shri Dorjee Tshering Lepcha (2024-30) (2024-2030),Elected MP,150170726.1
RAJYA_SABHA,Allocated Limit for Honble MPs (4).csv,77,76,Karnataka,Shri G.C. Chandrashekhar (2024-30) (2024-2030),Elected MP,147000000.0
RAJYA_SABHA,Allocated Limit for Honble MPs (4).csv,78,77,Rajasthan,Shri Ghanshyam Tiwari (2022-28) (2022-2028),Elected MP,196063957.1
RAJYA_SABHA,Allocated Limit for Honble MPs (4).csv,79,78,Andhra Pradesh,Shri Golla Baburao (2024-30) (2024-2030),Elected MP,147000000.0
RAJYA_SABHA,Allocated Limit for Honble MPs (4).csv,80,79,Gujarat,Shri Govindbhai Laljibhai Dholakia (2024-30) (2024-2030),Elected MP,147000000.0
RAJYA_SABHA,Allocated Limit for Honble MPs (4).csv,81,80,Jammu And Kashmir,Shri Gulam Ali (2022-28) (2022-2028),Nominated MP,196063957.1
RAJYA_SABHA,Allocated Limit for Honble MPs (4).csv,82,81,Jammu And Kashmir,Shri Gurwinder Singh Oberoi (2025-31) (2025-2031),Elected MP,73500000.0
RAJYA_SABHA,Allocated Limit for Honble MPs (4).csv,83,82,Punjab,Shri Harbhajan Singh (2022-28) (2022-2028),Elected MP,220984094.3
RAJYA_SABHA,Allocated Limit for Honble MPs (4).csv,84,83,Uttar Pradesh,Shri Hardeep Singh Puri (2020-26) (2020-2026),Elected MP,226801049.1
RAJYA_SABHA,Allocated Limit for Honble MPs (4).csv,85,84,Kerala,Shri Haris Beeran (2024-30) (2024-2030),Elected MP,122500000.0
RAJYA_SABHA,Allocated Limit for Honble MPs (4).csv,86,85,Himachal Pradesh,Shri Harsh Mahajan (2024-30) (2024-2030),Elected MP,147000000.0
RAJYA_SABHA,Allocated Limit for Honble MPs (4).csv,87,86,West Bengal,Shri Harsh Vardhan Shringla (2025-31) (2025-2031),Nominated MP,73500000.0
RAJYA_SABHA,Allocated Limit for Honble MPs (4).csv,88,87,Tamil Nadu,Shri I.S. Inbadurai (2025-31) (2025-2031),Elected MP,89248285.42
RAJYA_SABHA,Allocated Limit for Honble MPs (4).csv,89,88,Tamil Nadu,Shri Ilaiyaraaja (2022-28) (2022-2028),Nominated MP,220563957.1
RAJYA_SABHA,Allocated Limit for Honble MPs (4).csv,90,89,Maharashtra,Shri Imran Pratapgarhi (2022-28) (2022-2028),Elected MP,196000000.0
RAJYA_SABHA,Allocated Limit for Honble MPs (4).csv,91,90,Gujarat,Shri Jagat Prakash Nadda (2024-30) (2024-2030),Elected MP,147000000.0
RAJYA_SABHA,Allocated Limit for Honble MPs (4).csv,92,91,Karnataka,Shri Jaggesh (2022-28) (2022-2028),Elected MP,196063957.1
RAJYA_SABHA,Allocated Limit for Honble MPs (4).csv,93,92,Karnataka,Shri Jairam Ramesh (2022-28) (2022-2028),Elected MP,220563957.1
RAJYA_SABHA,Allocated Limit for Honble MPs (4).csv,94,93,Meghalaya,Shri James Pangsang Kongkal Sangma (2026-32) (2026-2032),Elected MP,49000000.0
RAJYA_SABHA,Allocated Limit for Honble MPs (4).csv,95,94,Uttar Pradesh,Shri Javed Ali Khan (2022-28) (2022-2028),Elected MP,196063957.1
RAJYA_SABHA,Allocated Limit for Honble MPs (4).csv,96,95,Uttar Pradesh,Shri Jayant Chaudhary (2022-28) (2022-2028),Elected MP,214074707.7
RAJYA_SABHA,Allocated Limit for Honble MPs (4).csv,97,96,Assam,Shri Jogen Mohan (2026-32) (2026-2032),Elected MP,49000000.0
RAJYA_SABHA,Allocated Limit for Honble MPs (4).csv,98,97,Kerala,Shri Jose K. Mani (2024-30) (2024-2030),Elected MP,122500000.0
RAJYA_SABHA,Allocated Limit for Honble MPs (4).csv,99,98,Tamil Nadu,Shri K.R.N. Rajeshkumar (2022-28) (2022-2028),Elected MP,238513975.5
RAJYA_SABHA,Allocated Limit for Honble MPs (4).csv,100,99,Tamil Nadu,Shri Kamal Haasan (2025-31) (2025-2031),Elected MP,89248285.42
RAJYA_SABHA,Allocated Limit for Honble MPs (4).csv,101,100,Assam,Shri Kanad Purkayastha (2025-31) (2025-2031),Elected MP,98000000.0
RAJYA_SABHA,Allocated Limit for Honble MPs (4).csv,102,101,Uttar Pradesh,Shri Kapil Sibal (2022-28) (2022-2028),Elected MP,196063957.1
RAJYA_SABHA,Allocated Limit for Honble MPs (4).csv,103,102,Haryana,Shri Karamvir Singh Singh Boudh (2026-32) (2026-2032),Elected MP,49000000.0
RAJYA_SABHA,Allocated Limit for Honble MPs (4).csv,104,103,Haryana,Shri Kartikeya Sharma (2022-28) (2022-2028),Elected MP,196000000.0
RAJYA_SABHA,Allocated Limit for Honble MPs (4).csv,105,104,Gujarat,Shri Kesridevsinh Jhala (2023-29) (2023-2029),Elected MP,171500000.0
RAJYA_SABHA,Allocated Limit for Honble MPs (4).csv,106,105,Mizoram,Shri Khiangte Laltluangkima (2026-32) (2026-2032),Elected MP,24500000.0
RAJYA_SABHA,Allocated Limit for Honble MPs (4).csv,107,106,Bihar,Shri Khiru Mahto (2022-28) (2022-2028),Elected MP,235770091.8
RAJYA_SABHA,Allocated Limit for Honble MPs (4).csv,108,107,Tamil Nadu,Shri L. K. Sudhish (2026-32) (2026-2032),Elected MP,49356476.5
RAJYA_SABHA,Allocated Limit for Honble MPs (4).csv,109,108,Karnataka,Shri Lahar Singh Siroya (2022-28) (2022-2028),Elected MP,206278088.1
RAJYA_SABHA,Allocated Limit for Honble MPs (4).csv,110,109,Andhra Pradesh,Shri Lingamaneni Ramesh (2026-32) (2026-2032),Elected MP,49000000.0
RAJYA_SABHA,Allocated Limit for Honble MPs (4).csv,111,110,Karnataka,Shri M. Nagaraja (2026-32) (2026-2032),Elected MP,49000000.0
RAJYA_SABHA,Allocated Limit for Honble MPs (4).csv,112,111,Rajasthan,Shri Madan Rathore (2024-30) (2024-2030),Elected MP,147000000.0
RAJYA_SABHA,Allocated Limit for Honble MPs (4).csv,113,112,Uttarakhand,Shri Mahendra Bhatt (2024-30) (2024-2030),Elected MP,147000000.0
RAJYA_SABHA,Allocated Limit for Honble MPs (4).csv,114,113,Madhya Pradesh,Shri Mahesh Kewat (2026-32) (2026-2032),Elected MP,49000000.0
RAJYA_SABHA,Allocated Limit for Honble MPs (4).csv,115,114,Karnataka,Shri Mallikarjun Kharge (2026-32) (2026-2032),Elected MP,49063957.11
RAJYA_SABHA,Allocated Limit for Honble MPs (4).csv,116,115,Bihar,Shri Manan Kumar Mishra (2024-28) (2024-2028),Elected MP,235263957.1
RAJYA_SABHA,Allocated Limit for Honble MPs (4).csv,117,116,Odisha,Shri Manas Ranjan Mangaraj (2022-28) (2022-2028),Elected MP,196063957.1
RAJYA_SABHA,Allocated Limit for Honble MPs (4).csv,118,117,Odisha,Shri Manmohan Samal (2026-32) (2026-2032),Elected MP,49000000.0
RAJYA_SABHA,Allocated Limit for Honble MPs (4).csv,119,118,Karnataka,Shri Mansoor Ali Khan (2026-32) (2026-2032),Elected MP,49000000.0
RAJYA_SABHA,Allocated Limit for Honble MPs (4).csv,120,119,Andhra Pradesh,Shri Masthan Rao Yadav Beedha (2024-28) (2024-2028),Elected MP,171296045.1
RAJYA_SABHA,Allocated Limit for Honble MPs (4).csv,121,120,Gujarat,Shri Mayankkumar Nayak (2024-30) (2024-2030),Elected MP,147000000.0
RAJYA_SABHA,Allocated Limit for Honble MPs (4).csv,122,121,Andhra Pradesh,Shri Meda Raghunadha Reddy (2024-30) (2024-2030),Elected MP,147000000.0
RAJYA_SABHA,Allocated Limit for Honble MPs (4).csv,123,122,Maharashtra,Shri Milind Murli Deora (2024-30) (2024-2030),Elected MP,147000000.0
RAJYA_SABHA,Allocated Limit for Honble MPs (4).csv,124,123,Uttar Pradesh,Shri Mithlesh Kumar (2022-28) (2022-2028),Elected MP,196063957.1
RAJYA_SABHA,Allocated Limit for Honble MPs (4).csv,125,124,West Bengal,Shri Mohammed Nadimul Haque (2024-30) (2024-2030),Elected MP,147000000.0
RAJYA_SABHA,Allocated Limit for Honble MPs (4).csv,126,125,Rajasthan,Shri Mukul Wasnik (2022-28) (2022-2028),Elected MP,196063957.1
RAJYA_SABHA,Allocated Limit for Honble MPs (4).csv,127,126,West Bengal,Shri Nagendra Ray (2023-29) (2023-2029),Elected MP,171500000.0
RAJYA_SABHA,Allocated Limit for Honble MPs (4).csv,128,127,Delhi,Shri Narain Dass Gupta (2024-30) (2024-2030),Elected MP,160837070.0
RAJYA_SABHA,Allocated Limit for Honble MPs (4).csv,129,128,Karnataka,Shri Narayanasa K. Bhandage (2024-30) (2024-2030),Elected MP,147450000.0
RAJYA_SABHA,Allocated Limit for Honble MPs (4).csv,130,129,Uttarakhand,Shri Naresh Bansal (2020-26) (2020-2026),Elected MP,222043184.7
RAJYA_SABHA,Allocated Limit for Honble MPs (4).csv,131,130,Uttar Pradesh,Shri Naveen Jain (2024-30) (2024-2030),Elected MP,147000000.0
RAJYA_SABHA,Allocated Limit for Honble MPs (4).csv,132,131,Rajasthan,Shri Neeraj Dangi (2026-32) (2026-2032),Elected MP,49000000.0
RAJYA_SABHA,Allocated Limit for Honble MPs (4).csv,133,132,Uttar Pradesh,Shri Neeraj Shekhar (2020-26) (2020-2026),Elected MP,236483662.1
RAJYA_SABHA,Allocated Limit for Honble MPs (4).csv,134,133,Maharashtra,Shri Nitin Laxmanrao Jadhav Patil (2024-28) (2024-2028),Elected MP,122500000.0
RAJYA_SABHA,Allocated Limit for Honble MPs (4).csv,135,134,Bihar,Shri Nitin Nabin (2026-32) (2026-2032),Elected MP,49000000.0
RAJYA_SABHA,Allocated Limit for Honble MPs (4).csv,136,135,Tamil Nadu,Shri P. Chidambaram (2022-28) (2022-2028),Elected MP,236312242.5
RAJYA_SABHA,Allocated Limit for Honble MPs (4).csv,137,136,Kerala,Shri P. P. Suneer (2024-30) (2024-2030),Elected MP,122500000.0
RAJYA_SABHA,Allocated Limit for Honble MPs (4).csv,138,137,Tamil Nadu,Shri P. Wilson (2025-31) (2025-2031),Elected MP,89248285.42
RAJYA_SABHA,Allocated Limit for Honble MPs (4).csv,139,138,Assam,Shri Pabitra Margherita (2022-28) (2022-2028),Elected MP,220563957.1
RAJYA_SABHA,Allocated Limit for Honble MPs (4).csv,140,139,Andhra Pradesh,Shri Paka Venkata Satyanarayana (2025-28) (2025-2028),Elected MP,98000000.0
RAJYA_SABHA,Allocated Limit for Honble MPs (4).csv,141,140,Maharashtra,Shri Parth Ajit Pawar (2026-32) (2026-2032),Elected MP,49000000.0
RAJYA_SABHA,Allocated Limit for Honble MPs (4).csv,142,141,Karnataka,Shri Pawan Khera (2026-32) (2026-2032),Elected MP,49000000.0
RAJYA_SABHA,Allocated Limit for Honble MPs (4).csv,143,142,Jharkhand,Shri Pradip Kumar Varma (2024-30) (2024-2030),Elected MP,178564551.1
RAJYA_SABHA,Allocated Limit for Honble MPs (4).csv,144,143,Maharashtra,Shri Praful Patel (2024-30) (2024-2030),Elected MP,147000000.0
RAJYA_SABHA,Allocated Limit for Honble MPs (4).csv,145,144,West Bengal,Shri Prakash Chik Baraik (2026-29) (2026-2029),Elected MP,49662892.0
RAJYA_SABHA,Allocated Limit for Honble MPs (4).csv,146,145,Assam,Shri Pramod Boro (2026-32) (2026-2032),Elected MP,49000000.0
RAJYA_SABHA,Allocated Limit for Honble MPs (4).csv,147,146,Rajasthan,Shri Pramod Tiwari (2022-28) (2022-2028),Elected MP,196063957.1
RAJYA_SABHA,Allocated Limit for Honble MPs (4).csv,148,147,Tamil Nadu,Shri Praveen Chakravarthy (2026-28) (2026-2028),Elected MP,49356476.5
RAJYA_SABHA,Allocated Limit for Honble MPs (4).csv,149,148,Tamil Nadu,Shri R. Dharmar (2022-28) (2022-2028),Elected MP,260812242.5
RAJYA_SABHA,Allocated Limit for Honble MPs (4).csv,150,149,Tamil Nadu,Shri R. Girirajan (2022-28) (2022-2028),Elected MP,236312242.5
RAJYA_SABHA,Allocated Limit for Honble MPs (4).csv,151,150,Punjab,Shri Raghav Chadha (2022-28) (2022-2028),Elected MP,237229207.3
RAJYA_SABHA,Allocated Limit for Honble MPs (4).csv,152,151,West Bengal,Shri Rajeev Kumar (2026-32) (2026-2032),Elected MP,49000000.0
RAJYA_SABHA,Allocated Limit for Honble MPs (4).csv,153,152,Chhattisgarh,Shri Rajeev Shukla (2022-28) (2022-2028),Elected MP,271174394.2
RAJYA_SABHA,Allocated Limit for Honble MPs (4).csv,154,153,Gujarat,Shri Rajesh Parmanand Shukla (2026-32) (2026-2032),Elected MP,49000000.0
RAJYA_SABHA,Allocated Limit for Honble MPs (4).csv,155,154,Tripura,Shri Rajib Bhattacharjee (2024-28) (2024-2028),Elected MP,122500000.0
RAJYA_SABHA,Allocated Limit for Honble MPs (4).csv,156,155,Punjab,Shri Rajinder Gupta (2025-28) (2025-2028),Elected MP,49000000.0
RAJYA_SABHA,Allocated Limit for Honble MPs (4).csv,157,156,Madhya Pradesh,Shri Rajneesh Kumar Agrawal (2026-32) (2026-2032),Elected MP,49000000.0
RAJYA_SABHA,Allocated Limit for Honble MPs (4).csv,158,157,Bihar,Shri Ram Nath Thakur (2026-32) (2026-2032),Elected MP,65673638.73
RAJYA_SABHA,Allocated Limit for Honble MPs (4).csv,159,158,Maharashtra,Shri Ramdas Bandu Athawale (2026-32) (2026-2032),Elected MP,49000000.0
RAJYA_SABHA,Allocated Limit for Honble MPs (4).csv,160,159,Uttar Pradesh,Shri Ramji (2020-26) (2020-2026),Elected MP,174518577.1
RAJYA_SABHA,Allocated Limit for Honble MPs (4).csv,161,160,Uttar Pradesh,Shri Ramji Lal Suman (2024-30) (2024-2030),Elected MP,147000000.0
RAJYA_SABHA,Allocated Limit for Honble MPs (4).csv,162,161,Maharashtra,Shri Ramrao Sakharam Wadkute (2026-32) (2026-2032),Elected MP,49000000.0
RAJYA_SABHA,Allocated Limit for Honble MPs (4).csv,163,162,Rajasthan,Shri Randeep Singh Surjewala (2022-28) (2022-2028),Elected MP,196063957.1
RAJYA_SABHA,Allocated Limit for Honble MPs (4).csv,164,163,Uttar Pradesh,Shri Ratanjit Pratap Narain Singh (2024-30) (2024-2030),Elected MP,147000000.0
RAJYA_SABHA,Allocated Limit for Honble MPs (4).csv,165,164,Telangana,Shri Ravi Chandra Vaddiraju (2024-30) (2024-2030),Elected MP,152732534.1
RAJYA_SABHA,Allocated Limit for Honble MPs (4).csv,166,165,Assam,Shri Rwngwra Narzary (2022-28) (2022-2028),Elected MP,220563957.1
RAJYA_SABHA,Allocated Limit for Honble MPs (4).csv,167,166,Andhra Pradesh,Shri Ryaga Krishnaiah (2024-28) (2024-2028),Elected MP,170413583.8
RAJYA_SABHA,Allocated Limit for Honble MPs (4).csv,168,167,Andhra Pradesh,Shri S Niranjan Reddy (2022-28) (2022-2028),Elected MP,224621383.1
RAJYA_SABHA,Allocated Limit for Honble MPs (4).csv,169,168,Gujarat,Shri S. Jaishankar (2023-29) (2023-2029),Elected MP,171500000.0
RAJYA_SABHA,Allocated Limit for Honble MPs (4).csv,170,169,Tamil Nadu,Shri S. Kalyanasundaram (2022-28) (2022-2028),Elected MP,239763792.5
RAJYA_SABHA,Allocated Limit for Honble MPs (4).csv,171,170,Puducherry,Shri S. Selvaganabathy (2021-27) (2021-2027),Elected MP,292881856.5
RAJYA_SABHA,Allocated Limit for Honble MPs (4).csv,172,171,Tamil Nadu,Shri S.R. Sivalingam (2025-31) (2025-2031),Elected MP,89248285.42
